"Category","Product ID","Product name","Unit","Unit price (USD)","Power (W)","Energy (Wh)","Nameplate voltage (V)","Battery capacity (Ah)","Nominal input/system voltage (V)","Supported system voltages (V)","Controller current (A)","Inverter type","Included MPPT (A)","Maximum PV power (W)","PV power by voltage","Maximum PV voltage (V)","Maximum series units","Maximum parallel strings","Continuous battery discharge (A)","Maximum array allowance (W)","Specification sources","Price evidence","Observed matching-product USD range","Notes"
"solarPanels","pv-100","100 W mono solar panel","panel","45","100","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"solarPanels","pv-200","200 W mono solar panel","panel","65","200","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"solarPanels","pv-450","450 W mono solar panel","panel","110","450","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"batteries","bat-512","12.8 V 40 Ah LiFePO4 battery","battery","100","","512","12.8","40","12","","","","","","","","Unknown","Unknown","Unknown","","","2026-09-07; Uganda; UGX 368900; 1 USD = 3800 UGX; listed-product; Tax and delivery unconfirmed; retained September reference; https://www.jumia.ug/other-40ah-12.8v-lifepo4-solar-battery-512wh-with-usb-dc-output-260181220.html","Insufficient comparable observations","Existing Uganda 40 Ah class allowance; series, parallel and BMS limits unverified. Single native-voltage use only; obtain matching specifications."
"batteries","bat-1280","12.8 V 100 Ah LiFePO4 battery","battery","220","","1280","12.8","100","12","","","","","","","","Unknown","Unknown","Unknown","","","2026-09-07; Kenya; KES 26900; 1 USD = 129.46 KES; comparable-class; Tax and delivery unconfirmed; retained September reference; https://reenpowerandsolarenterprises.co.ke/product/lithium-valley-lfp100-12-1-28kwh-battery/","Insufficient comparable observations","Existing 12.8 V class allowance; manufacturer series/parallel approval and BMS limits unknown."
"batteries","bat-2560","Felicity FLA24100 25.6 V 100 Ah LiFePO4 battery","battery","500","","2560","25.6","100","24","","","","","","","","Unknown","15","Unknown","","https://us.felicitysolar.com/product/fla24100/","2026-09-07; Kenya; KES 61200.8; 1 USD = 129.46 KES; listed-product; Tax and delivery unconfirmed; retained September reference; https://sunstoreltd.com/product.php?id=191","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"batteries","bat-24-50","SNADI 25.6 V 50 Ah LiFePO4 reference","battery","180","","1280","25.6","50","24","","","","","","","","Unknown","Unknown","50","","https://www.snadisolar.com/product/snadi-128256v-lifepo4-battery.html","2026-09-07; Kenya; KES 22000; 1 USD = 129.46 KES; comparable-class; Tax, delivery and brand match unconfirmed; https://jiji.co.ke/umoja/power-equipments/lithium-batery-24v-50ah-CyqK4MfIx43eANgW2JQ1FKAd.html","Insufficient comparable observations","Single comparable-class price, not a SNADI quotation. Native 24 V use only; series/parallel approval unknown."
"batteries","bat-48-100","Felicity FLA48100 51.2 V 100 Ah LiFePO4 battery","battery","950","","5120","51.2","100","48","","","","","","","","Unknown","15","Unknown","","https://www.felicitysolar.com/zh/product/fla48100/","2026-09-07; Uganda; UGX 3500000; 1 USD = 3800 UGX; listed-product; Tax and delivery unconfirmed; https://jiji.ug/central-division/power-equipments/100ah-48v-5kwh-felicity-lithium-battery-ptGCxsTN76fbppdY5eKSL9Pr.html","Insufficient comparable observations","Single Uganda listing. Listing and manufacturer revisions disagree on current limits; BMS current remains unknown pending matching revision."
"chargeControllers","mppt-20","SRNE ML2420 20 A MPPT charge controller","controller","50","","","","","","12 / 24","20","","","","12 V: 260 W; 24 V: 520 W","90","Unknown","Unknown","Unknown","","https://www.srnesolar.com/wp-content/uploads/2020/11/MPPT-Solar-Charge-Controller-ML2420-Specification.pdf","2026-09-07; Uganda; UGX 200000; 1 USD = 3800 UGX; comparable-class; Tax and delivery unconfirmed; different brand; https://kwttechmart.ug/products/solarland-20a-mppt-solar-charge-controller-reliable-charge","Insufficient comparable observations","20 A class price; obtain a matching SRNE quotation. 90 V PV limit is the documented cold-temperature limit."
"chargeControllers","mppt-30","SRNE ML2430 30 A MPPT charge controller","controller","75","","","","","","12 / 24","30","","","","12 V: 400 W; 24 V: 800 W","90","Unknown","Unknown","Unknown","","https://www.srnesolar.com/wp-content/uploads/2020/11/MPPT-Solar-Charge-Controller-ML2420-Specification.pdf","2026-09-07; Uganda; UGX 258000; 1 USD = 3800 UGX; comparable-class; Published Shiner2430 trade tier above UGX 10 million; retail, tax and delivery unconfirmed; https://bookstack.nearlyfreeenergy.com/attachments/58?open=true","Insufficient comparable observations","Retained Uganda SRNE 30 A class allowance; exact model quote required."
"chargeControllers","mppt-60","SRNE ML4860 60 A MPPT charge controller","controller","150","","","","","","12 / 24 / 48","60","","","","12 V: 800 W; 24 V: 1600 W; 48 V: 3200 W","145","Unknown","Unknown","Unknown","","https://www.srnesolar.com/wp-content/uploads/2020/11/MPPT-Solar-Charge-Controller-ML4860-Specification.pdf","2026-09-07; Uganda; UGX 560000; 1 USD = 3800 UGX; comparable-class; Tax and delivery unconfirmed; retained September reference; https://www.bbiri-centre.com/product-page/60a-mppt-solar-charge-controller-12v-24v-48v-auto-adapt","Insufficient comparable observations","60 A class allowance; confirm exact SRNE revision and quote."
"hybridInverters","inverter-300","MEBA P300U 12 V 300 W standalone inverter","inverter","50","300","","","","12","","","standalone","","","","","Unknown","Unknown","Unknown","","https://mebamcb.com/product/power-inverter/meba-300w-pure-sine-wave-power-inverter-p300u","2026-09-07; Kenya; KES 5367.74; 1 USD = 129.46 KES; comparable-class; 24 V comparator only; gross price, delivery unknown, out of stock; 12 V quote required; https://www.senetic.co.ke/product/INV14","Insufficient comparable observations","Retained USD 50 small-inverter class allowance; matching brand price and surge duration unverified."
